text_raw,text_clean,true,pred,max_prob,prob_Negatif,prob_Netral,prob_Positif
sayang banget 1 telurnya busuk dan 1 telur pecah.,sayang banget 1 telur busuk dan 1 telur pecah,Negatif,Positif,0.9437956325213809,0.016274186117819923,0.039930181360799254,0.9437956325213809
ternyata setang nya ga bisa dibelokin jadi lurus aja kedepan,nyata setang nya tidak bisa dibelokin jadi lurus aja depan,Positif,Netral,0.7133185173470685,0.1399300708383933,0.7133185173470685,0.14675141181453816
harga 3 juta tidak ada batrenya,harga 3 juta tidak ada batrenya,Negatif,Positif,0.9611185750512486,0.012624745172148304,0.02625667977660312,0.9611185750512486
yah ada tambahan aneh,yah ada tambah aneh,Netral,Positif,0.9617896176820006,0.009737980954682361,0.02847240136331715,0.9617896176820006
warna yg dikirim beda dgn yg dipesan. padahal sebelumnya sudah konfirmasi stok dulu.,warna yg kirim beda dgn yg pes padahal belum sudah konfirmasi stok dulu,Netral,Negatif,0.7640226202772243,0.7640226202772243,0.13583219598884932,0.10014518373392628
"biasanya langganan dan puas tp skg order 1500 gr yg datang 1100 gr aja ,baru sadar setelah mau dimasak ada 2 plastik,1 plastik ditimbang berkali2 700gr + yg 500 gr.g tau d sana nimbangnya gmn y",biasa langgan dan puas tp skg order 1500 gr yg datang 1100 gr aja baru sadar telah mau masak ada 2 plastik 1 plastik timbang berkali2 700gr yg 500 gr g tau d sana nimbangnya gmn y,Netral,Positif,0.9632991746595918,0.007296727774554317,0.029404097565853726,0.9632991746595918
ih sumpah ga suka bnget warna nya ga sesuai ama yang dipesen motifnya juga,ih sumpah tidak suka bnget warna nya tidak sesuai ama yang sen motif juga,Negatif,Positif,0.8786871787564435,0.0657472199880894,0.055565601255467154,0.8786871787564435
"D luar expetasi,ternyata kecil bgt...kirain harga 2x lipat lebih mahal dr yg lain nya lebih gede...ternyata kecil sma aj hmmmmmm",d luar expetasi nyata kecil bgt kirain harga 2x lipat lebih mahal dr yg lain nya lebih gede nyata kecil sma aj hmm,Negatif,Positif,0.7463808043153706,0.151726529762135,0.10189266592249449,0.7463808043153706
"barangnya sesuai, tapi ga bisa dibuka dratnya terlalu kenceng,, ga bisa dipake juga pada akhirnya",barang sesuai tapi tidak bisa buka drat terlalu kenceng tidak bisa dipake juga pada akhir,Negatif,Positif,0.899718144871922,0.06827437275557845,0.03200748237249938,0.899718144871922
ukuran kekecilan dan penguncinya enggak baik,ukur kecil dan kunci tidak baik,Negatif,Positif,0.8588314420690676,0.10159998760327282,0.03956857032765962,0.8588314420690676
terima kasih banyak untuk kirimannya,terima kasih banyak untuk kirim,Netral,Positif,0.9967916031502121,0.001976969749685865,0.001231427100102048,0.9967916031502121
Bahan: Bahan keras bola berat pantesan murah cocok nya buat main futsal bukan buat voli,bahan bahan keras bola berat pantesan murah cocok nya buat main futsal bukan buat voli,Negatif,Positif,0.9457398147446272,0.012633527643706018,0.04162665761166687,0.9457398147446272
pesanan kurang 3kg,pesan kurang 3kg,Negatif,Netral,0.5754762185970814,0.3100018082212287,0.5754762185970814,0.11452197318168993
"ga bisa di withdraw, kontak cs akun langsung ditutup",tidak bisa di withdraw kontak cs akun langsung tutup,Negatif,Positif,0.9134359086437244,0.06482688782123314,0.021737203535042427,0.9134359086437244
"lagi2 beras diterima dlm keadaan tidak vakum, uda masuk angin, mungkin kedepannya bisa diperhatikan lagi",lagi2 beras terima dlm ada tidak vakum uda masuk angin mungkin depan bisa perhati lagi,Netral,Positif,0.9386392260476738,0.020658435484237174,0.040702338468088954,0.9386392260476738
Barang nya cacat,barang nya cacat,Negatif,Positif,0.9558715309135007,0.013727731860141892,0.030400737226357354,0.9558715309135007
